"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","船名","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
LGXS26070756,"450018597000010",G3MMZJML,"2700",广西柳钢国际贸易有限公司,铁山港,马尔凯洛,焦化厂,"1823822",70.000,"20260906052300","20260906061020","20260906060300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
LGXS26070756,"450018597000010",G3MMZJML,"2700",广西柳钢国际贸易有限公司,铁山港,马尔凯洛,焦化厂,"4975000",63.000,"20260906052300","20260906061020","20260906060300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
LGXS26070756,"450018597000010",G3MMZJML,"2700",广西柳钢国际贸易有限公司,铁山港,马尔凯洛,焦化厂,"1888329",70.000,"20260906052300","20260906061020","20260906060300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1889881",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1624582",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1570015",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1665157",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1573715",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4922451",62.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1764073",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4872724",61.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1678140",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1870964",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1742135",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1836499",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1889879",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1889885",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1680239",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4957854",61.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1606303",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1658780",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1637995",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1889886",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1872729",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4949043",61.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1609531",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4910836",62.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1889884",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4836406",62.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4880519",62.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4950960",62.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1659590",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1785131",70.000,"20260905222400","20260905225222","20260905230400",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
